Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 20 HeLa cells	Peptides Blank	Peptides Single cell 1	Peptides Single cell 2	Peptides Single cell 4	Peptides 100 HeLa cells	Peptides Single cell 3	Razor + unique peptides 20 HeLa cells	Razor + unique peptides Blank	Razor + unique peptides Single cell 1	Razor + unique peptides Single cell 2	Razor + unique peptides Single cell 4	Razor + unique peptides 100 HeLa cells	Razor + unique peptides Single cell 3	Unique peptides 20 HeLa cells	Unique peptides Blank	Unique peptides Single cell 1	Unique peptides Single cell 2	Unique peptides Single cell 4	Unique peptides 100 HeLa cells	Unique peptides Single cell 3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 20 HeLa cells	Identification type Blank	Identification type Single cell 1	Identification type Single cell 2	Identification type Single cell 4	Identification type 100 HeLa cells	Identification type Single cell 3	Sequence coverage 20 HeLa cells [%]	Sequence coverage Blank [%]	Sequence coverage Single cell 1 [%]	Sequence coverage Single cell 2 [%]	Sequence coverage Single cell 4 [%]	Sequence coverage 100 HeLa cells [%]	Sequence coverage Single cell 3 [%]	Intensity	Intensity 20 HeLa cells	Intensity Blank	Intensity Single cell 1	Intensity Single cell 2	Intensity Single cell 4	Intensity 100 HeLa cells	Intensity Single cell 3	iBAQ	iBAQ 20 HeLa cells	iBAQ Blank	iBAQ Single cell 1	iBAQ Single cell 2	iBAQ Single cell 4	iBAQ 100 HeLa cells	iBAQ Single cell 3	LFQ intensity 20 HeLa cells	LFQ intensity Blank	LFQ intensity Single cell 1	LFQ intensity Single cell 2	LFQ intensity Single cell 4	LFQ intensity 100 HeLa cells	LFQ intensity Single cell 3	MS/MS count 20 HeLa cells	MS/MS count Blank	MS/MS count Single cell 1	MS/MS count Single cell 2	MS/MS count Single cell 4	MS/MS count 100 HeLa cells	MS/MS count Single cell 3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
O43143	O43143	10	10	10	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	1	10	10	10	3	0	0	1	1	9	0	3	0	0	1	1	9	0	3	0	0	1	1	9	0	13	13	13	90.932	795	795	0	19.844	By MS/MS			By matching	By matching	By MS/MS		3.6	0	0	1	1	11.2	0	14863000	716860	0	0	34327	47594	14065000	0	323120	15584	0	0	746.24	1034.7	305750	0	1109400	0	0	0	0	1735000	0	1	0	0	0	0	8	0	9				119	3181;4330;4652;5941;8820;8887;9679;10172;12294;12568	True;True;True;True;True;True;True;True;True;True	3265;4441;4768;6094;9055;9124;9939;10442;12617;12894	10397;10398;14021;14998;14999;15000;15001;19224;27815;28008;30332;31889;38621;39506	7570;10247;10963;13980;20267;20416;22109;23263;28331;28983	7570;10247;10963;13980;20267;20416;22109;23263;28331;28983		
O43148	O43148	1	1	1	mRNA cap guanine-N7 methyltransferase	RNMT	sp|O43148|MCES_HUMAN mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2.1	2.1	2.1	54.843	476	476	0.009122	1.3665						By MS/MS		0	0	0	0	0	2.1	0	612410	0	0	0	0	0	612410	0	20414	0	0	0	0	0	20414	0	0	0	0	0	0	92641	0	0	0	0	0	0	1	0	1				120	8818	TRUE	9053	27811	20264	20264		
O43169	O43169	3	3	3	Cytochrome b5 type B	CYB5B	sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=2	1	3	3	3	1	0	1	1	2	2	1	1	0	1	1	2	2	1	1	0	1	1	2	2	1	18.5	18.5	18.5	16.332	146	146	0	7.9167	By MS/MS		By matching	By matching	By MS/MS	By MS/MS	By matching	8.2	0	8.2	8.2	14.4	12.3	8.2	5348600	265430	0	34693	34402	174410	4541800	297860	594290	29492	0	3854.8	3822.4	19379	504650	33095	0	0	0	0	738030	0	0	1	0	0	0	2	2	0	5				121	2480;3889;12013	True;True;True	2543;3991;12329	8199;12683;12684;12685;12686;12687;12688;37935	5968;9188;9189;9190;27792	5968;9189;27792		
O43175	O43175	16	16	16	D-3-phosphoglycerate dehydrogenase	PHGDH	sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4	1	16	16	16	14	0	8	8	15	14	5	14	0	8	8	15	14	5	14	0	8	8	15	14	5	36.6	36.6	36.6	56.65	533	533	0	197.21	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.6	0	18.8	21.4	34.9	32.1	12.6	138700000	15753000	0	572850	615770	2334600	118160000	1265700	5137100	583430	0	21217	22806	86466	4376300	46876	13910000	0	10984000	11871000	10058000	10358000	9350200	16	0	2	5	8	17	3	51				122	473;474;728;762;1747;2177;3045;3553;3995;4948;7522;8124;8350;10480;11481;11818	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	488;489;755;790;1795;2233;3124;3646;4098;5071;7730;8346;8577;10761;11784;12127	1513;1514;1515;1516;1517;1518;1519;1520;1521;2417;2418;2419;2420;2520;2521;2522;2523;2524;2525;2526;2527;2528;2529;2530;2531;5795;5796;7198;7199;9952;11558;11559;11560;11561;11562;12994;12995;12996;12997;12998;15940;15941;15942;15943;24049;24050;24051;25812;25813;25814;25815;25816;25817;26444;26445;26446;32910;32911;32912;32913;36153;36154;36155;36156;37267;37268;37269;37270;37271;37272	1116;1117;1118;1119;1120;1121;1122;1123;1791;1792;1793;1875;1876;1877;1878;1879;1880;1881;4237;5259;7238;7239;8404;8405;8406;9421;9422;9423;11651;11652;11653;11654;17536;17537;18828;18829;19281;24032;24033;24034;26473;26474;26475;26476;26477;27310;27311;27312;27313;27314;27315	1117;1123;1793;1876;4237;5259;7238;8404;9421;11651;17536;18829;19281;24033;26476;27310		
O43237	O43237	2	2	2	Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2	sp|O43237|DC1L2_HUMAN Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1	1	2	2	2	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	4.9	4.9	4.9	54.099	492	492	0	5.0182	By MS/MS				By matching	By MS/MS		2.4	0	0	0	2.4	2.4	0	1436200	80545	0	0	0	65167	1290400	0	49523	2777.4	0	0	0	2247.1	44498	0	0	0	0	0	0	195210	0	1	0	0	0	0	1	0	2				123	7703;10789	True;True	7915;11076	24618;33878;33879	17944;24747	17944;24747		
O43242	O43242	13	13	13	26S proteasome non-ATPase regulatory subunit 3	PSMD3	sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2	1	13	13	13	7	0	1	3	5	10	2	7	0	1	3	5	10	2	7	0	1	3	5	10	2	28.8	28.8	28.8	60.977	534	534	0	65.434	By MS/MS		By matching	By matching	By matching	By MS/MS	By matching	15.7	0	2.4	6.9	11.2	21.5	4.3	15687000	1773800	0	18483	54209	252060	13497000	91476	402230	45481	0	473.93	1390	6463.2	346070	2345.5	1575900	0	0	966150	1144300	1846100	601950	7	0	0	0	0	10	0	17				124	572;1194;1624;2144;2380;2558;3076;4147;5134;5160;8038;8984;10010	True;True;True;True;True;True;True;True;True;True;True;True;True	594;1228;1669;2199;2440;2623;3156;4255;5266;5295;8260;9222;10277	1887;3993;3994;3995;3996;3997;5351;5352;5353;7096;7892;7893;7894;8423;8424;8425;8426;8427;10046;10047;10048;13429;16530;16601;25556;28259;31377;31378	1410;2954;2955;3926;3927;5178;5762;6121;6122;7316;7317;9755;12069;12119;18640;20602;22864	1410;2955;3926;5178;5762;6122;7317;9755;12069;12119;18640;20602;22864		
O43252	O43252	1	1	1	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	PAPSS1	sp|O43252|PAPS1_HUMAN Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1 OS=Homo sapiens OX=9606 GN=PAPSS1 PE=1 SV=2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2.2	2.2	2.2	70.832	624	624	0.0069646	1.4662						By MS/MS		0	0	0	0	0	2.2	0	678510	0	0	0	0	0	678510	0	18847	0	0	0	0	0	18847	0	0	0	0	0	0	102640	0	0	0	0	0	0	1	0	1				125	7756	TRUE	7968	24774	18057	18057		
O43390	O43390	14	9	9	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1	1	14	9	9	8	0	7	8	6	10	5	6	0	5	6	4	5	2	6	0	5	6	4	5	2	24.3	16.4	16.4	70.942	633	633	0	23.238	By MS/MS		By MS/MS	By MS/MS	By matching	By MS/MS	By matching	14.2	0	12.8	14.4	10.4	17.4	8.5	51571000	2659800	0	276800	442840	313020	47618000	260430	1257800	64874	0	6751.2	10801	7634.5	1161400	6351.9	1560800	0	6249400	4934600	1961500	4689000	3198700	6	0	2	1	0	7	0	16				126	202;459;2312;2501;3475;4094;5877;7734;9239;9435;9933;10356;10489;11708	False;False;True;True;False;True;True;True;False;True;True;False;True;True	205;474;2371;2566;3567;4201;6028;7946;9485;9688;10200;10634;10770;12017	617;1476;1477;7645;7646;7647;8268;8269;8270;8271;11306;11307;11308;11309;11310;11311;11312;13288;13289;13290;13291;19024;19025;19026;19027;19028;24721;24722;24723;24724;28992;29590;29591;31134;32481;32482;32483;32484;32485;32486;32932;32933;32934;36931;36932;36933	446;1092;1093;5583;6019;8226;8227;8228;8229;8230;8231;9646;9647;13839;13840;18019;18020;18021;21128;21560;22675;22676;23701;23702;23703;23704;23705;23706;24056;24057;27071;27072	446;1092;5583;6019;8227;9646;13839;18019;21128;21560;22676;23702;24057;27072		
O43395	O43395	3	3	3	U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3	sp|O43395|PRPF3_HUMAN U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2	1	3	3	3	1	0	0	0	1	2	0	1	0	0	0	1	2	0	1	0	0	0	1	2	0	5	5	5	77.528	683	683	0	5.5395	By MS/MS				By MS/MS	By MS/MS		1.8	0	0	0	1.5	3.5	0	6037800	257970	0	0	0	80059	5699800	0	150940	6449.1	0	0	0	2001.5	142490	0	0	0	0	0	0	862210	0	0	0	0	0	1	2	0	3				127	6802;8807;11470	True;True;True	6978;9042;11773	21893;27769;36106;36107;36108	15917;20234;26440;26441	15917;20234;26441		
O43396	O43396	6	6	6	Thioredoxin-like protein 1	TXNL1	sp|O43396|TXNL1_HUMAN Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3	1	6	6	6	3	0	0	1	1	5	0	3	0	0	1	1	5	0	3	0	0	1	1	5	0	31.5	31.5	31.5	32.251	289	289	0	27.913	By MS/MS			By matching	By matching	By MS/MS		13.8	0	0	7.6	7.6	29.1	0	9514300	572450	0	0	26931	37895	8877000	0	634290	38164	0	0	1795.4	2526.3	591800	0	0	0	0	0	0	1342800	0	3	0	0	0	0	5	0	8				128	410;3102;4550;4661;8322;11283	True;True;True;True;True;True	423;3182;4665;4777;8549;11578	1308;10142;10143;14694;15033;26369;35469;35470;35471;35472;35473	947;7409;7410;10754;10981;19227;25956;25957	947;7410;10754;10981;19227;25957		
O43399	O43399	8	8	8	Tumor protein D54	TPD52L2	sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2	1	8	8	8	6	0	2	1	4	8	2	6	0	2	1	4	8	2	6	0	2	1	4	8	2	45.1	45.1	45.1	22.237	206	206	0	116.01	By MS/MS		By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	35.4	0	11.2	6.8	25.2	45.1	9.7	94505000	4799300	0	136760	58120	873250	88415000	223340	6300400	319950	0	9117.6	3874.7	58217	5894300	14889	4743100	0	3223500	0	5357300	9178000	2341500	5	0	2	0	2	9	1	19				129	6217;6270;10052;10580;10628;10661;11088;11878	True;True;True;True;True;True;True;True	6378;6431;10319;10864;10913;10946;11381;12190	20063;20211;20212;31502;31503;33229;33230;33231;33387;33388;33389;33487;33488;33489;33490;33491;34868;34869;34870;34871;34872;37473;37474;37475	14579;14687;14688;22947;22948;24286;24287;24386;24387;24456;24457;24458;24459;25480;25481;25482;25483;25484;27457	14579;14688;22948;24286;24387;24457;25480;27457		
O43447	O43447	4	4	4	Peptidyl-prolyl cis-trans isomerase H	PPIH	sp|O43447|PPIH_HUMAN Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens OX=9606 GN=PPIH PE=1 SV=1	1	4	4	4	3	0	0	1	3	3	0	3	0	0	1	3	3	0	3	0	0	1	3	3	0	22.6	22.6	22.6	19.208	177	177	0	7.5437	By MS/MS			By matching	By matching	By MS/MS		18.1	0	0	5.6	18.1	16.9	0	8777600	2462700	0	0	15954	327610	5971400	0	626970	175910	0	0	1139.6	23401	426530	0	2116100	0	0	0	1603900	1032300	0	3	0	0	0	0	3	0	6				130	3845;4611;4615;8268	True;True;True;True	3946;4726;4730;8494	12552;12553;12554;14879;14880;14881;14888;14889;14890;26224	9095;9096;10887;10892;10893;19132	9095;10887;10893;19132		
O43491	O43491	1	1	1	Band 4.1-like protein 2	EPB41L2	sp|O43491|E41L2_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0.9	0.9	0.9	112.59	1005	1005	0.00066534	2.6823	By matching					By MS/MS		0.9	0	0	0	0	0.9	0	788290	82983	0	0	0	0	705300	0	12714	1338.4	0	0	0	0	11376	0	0	0	0	0	0	106690	0	0	0	0	0	0	1	0	1				131	4320	TRUE	4429	13955;13956	10196	10196		
O43504	O43504	1	1	1	Ragulator complex protein LAMTOR5	LAMTOR5	sp|O43504|LTOR5_HUMAN Ragulator complex protein LAMTOR5 OS=Homo sapiens OX=9606 GN=LAMTOR5 PE=1 SV=1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	22	22	22	9.6138	91	91	0.0012706	2.2476	By MS/MS		By matching		By matching			22	0	22	0	22	0	0	279620	168780	0	20664	0	90175	0	0	55924	33756	0	4132.8	0	18035	0	0	0	0	0	0	381580	0	0	1	0	0	0	0	0	0	1				132	3999	TRUE	4102	13004;13005;13006	9428	9428		
O43516	O43516	1	1	1	WAS/WASL-interacting protein family member 1	WIPF1	sp|O43516|WIPF1_HUMAN WAS/WASL-interacting protein family member 1 OS=Homo sapiens OX=9606 GN=WIPF1 PE=1 SV=3	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2	2	51.258	503	503	0.0053381	1.6223						By MS/MS		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				133	3977	TRUE	4080	12946	9391	9391		
O43583	O43583	3	3	3	Density-regulated protein	DENR	sp|O43583|DENR_HUMAN Density-regulated protein OS=Homo sapiens OX=9606 GN=DENR PE=1 SV=2	1	3	3	3	1	0	0	0	1	3	1	1	0	0	0	1	3	1	1	0	0	0	1	3	1	17.7	17.7	17.7	22.092	198	198	0	4.995	By matching				By matching	By MS/MS	By matching	4	0	0	0	4	17.7	4	4592900	427850	0	0	0	74702	4052300	38055	510320	47539	0	0	0	8300.2	450250	4228.4	0	0	0	0	0	613000	0	0	0	0	0	0	3	0	3				134	5897;7150;8213	True;True;True	6049;7333;8437	19100;23074;23075;23076;23077;26063	13896;16767;19001	13896;16767;19001		
O43615	O43615	2	2	2	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44	sp|O43615|TIM44_HUMAN Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2	1	2	2	2	1	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0	5.5	5.5	5.5	51.355	452	452	0	3.2572	By MS/MS			By matching	By matching	By MS/MS		3.3	0	0	3.3	3.3	2.2	0	1414600	111260	0	0	19528	28302	1255500	0	45632	3589	0	0	629.95	912.96	40500	0	0	0	0	0	119760	0	0	1	0	0	0	0	1	0	2				135	738;11171	True;True	765;11466	2442;35163;35164;35165	1810;25709	1810;25709		
O43670	O43670	3	3	3	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207	sp|O43670|ZN207_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1	1	3	3	3	2	0	1	1	1	3	0	2	0	1	1	1	3	0	2	0	1	1	1	3	0	6.9	6.9	6.9	50.75	478	478	0	27.1	By MS/MS		By matching	By matching	By matching	By MS/MS		5.2	0	2.7	2.7	2.7	6.9	0	3264600	421260	0	26113	29885	57386	2729900	0	181360	23404	0	1450.7	1660.3	3188.1	151660	0	534580	0	0	0	0	299640	0	1	0	0	0	0	2	0	3				136	2624;8053;8065	True;True;True	2690;8275;8287	8637;8638;8639;8640;8641;25585;25618;25619	6266;6267;18662;18688	6266;18662;18688		
O43681	O43681	1	1	1	ATPase ASNA1	ASNA1	sp|O43681|ASNA_HUMAN ATPase ASNA1 OS=Homo sapiens OX=9606 GN=ASNA1 PE=1 SV=2	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	2.6	2.6	2.6	38.792	348	348	0.0053286	1.6184	By MS/MS				By matching	By MS/MS		2.6	0	0	0	2.6	2.6	0	953200	78915	0	0	0	42369	831920	0	63547	5261	0	0	0	2824.6	55461	0	0	0	0	0	0	125850	0	1	0	0	0	0	1	0	2				137	6043	TRUE	6201	19532;19533;19534	14199;14200	14200		
O43684	O43684	7	7	7	Mitotic checkpoint protein BUB3	BUB3	sp|O43684|BUB3_HUMAN Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1	1	7	7	7	3	0	2	2	2	7	2	3	0	2	2	2	7	2	3	0	2	2	2	7	2	26.8	26.8	26.8	37.154	328	328	0	51.139	By MS/MS		By matching	By matching	By matching	By MS/MS	By matching	11	0	7	7	7	26.8	6.4	13384000	1010900	0	118520	122540	194300	11702000	236020	836510	63184	0	7407.8	7659	12144	731360	14751	796980	0	1839100	2165200	1000500	987120	1375200	3	0	0	0	0	7	0	10				138	6719;7422;8316;10583;10948;11571;12033	True;True;True;True;True;True;True	6895;7613;8543;10867;11238;11875;12349	21630;21631;21632;21633;23872;26356;26357;33239;33240;33241;34410;36450;37992;37993;37994;37995;37996;37997	15715;15716;17390;19218;24293;24294;25151;26710;27835;27836	15716;17390;19218;24294;25151;26710;27836		
O43707;Q9H254	O43707	58;1	58;1	40;1	Alpha-actinin-4	ACTN4	sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	2	58	58	40	48	1	30	32	47	54	32	48	1	30	32	47	54	32	33	1	20	21	32	37	20	71.9	71.9	50.1	104.85	911	911;2564	0	323.31	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	60.3	1.1	39.5	41.1	60	67.3	39.5	1517500000	123720000	80591	2322500	3101300	21825000	1352700000	13665000	25291000	2062000	1343.2	38709	51688	363740	22546000	227750	98815000	0	57375000	69359000	111490000	120210000	101610000	70	0	9	16	44	76	20	235				139	159;160;475;476;559;622;978;979;995;1377;1525;1601;1641;1971;2259;2439;2639;2745;3660;4105;4152;4333;4337;4338;4376;4452;4507;5155;5394;5557;5846;6020;6662;6983;7012;7266;7361;7437;7483;7499;7626;7997;8266;8290;8391;8765;9436;9581;9961;9962;10300;10420;10421;10422;11132;11285;11416;11727	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	162;163;490;491;580;581;645;1010;1011;1027;1416;1569;1646;1688;2024;2316;2501;2705;2817;3760;3761;4212;4260;4444;4448;4449;4489;4567;4622;5289;5290;5533;5699;5995;6176;6834;6835;7163;7192;7451;7547;7629;7630;7685;7705;7706;7836;8219;8492;8516;8618;9000;9689;9837;10228;10229;10576;10700;10701;10702;11426;11580;11718;12036	497;498;499;500;501;502;503;504;505;1522;1523;1524;1525;1526;1527;1528;1529;1530;1837;1838;1839;1840;1841;1842;1843;1844;1845;2066;2067;2068;2069;2070;2071;3255;3256;3257;3258;3259;3260;3261;3324;3325;3326;3327;3328;3329;3330;3331;3332;3333;3334;3335;4545;4546;4547;4548;4549;4550;5034;5035;5036;5037;5258;5259;5260;5261;5262;5263;5264;5265;5266;5267;5268;5417;5418;5419;5420;5421;5422;5423;5424;5425;5426;5427;6544;6545;6546;6547;6548;6549;7457;7458;7459;7460;7461;7462;8075;8076;8077;8696;8697;8698;8699;8700;9071;9072;9073;9074;11912;11913;11914;11915;11916;11917;11918;11919;11920;13313;13314;13315;13316;13440;13441;13442;13443;13444;13445;14026;14027;14028;14029;14030;14031;14032;14040;14041;14042;14043;14044;14169;14170;14171;14172;14173;14174;14382;14383;14568;14569;14570;14571;14572;14573;14574;14575;14576;16588;16589;16590;16591;16592;17345;17346;17347;17893;17894;17895;17896;17897;17898;17899;17900;18886;18887;18888;18889;19483;21452;21453;21454;21455;22486;22487;22488;22489;22490;22491;22492;22493;22591;22592;22593;22594;22595;23480;23481;23482;23769;23899;23900;23901;23902;23978;24004;24005;24006;24339;24340;24341;24342;24343;24344;25468;25469;25470;25471;25472;25473;25474;25475;25476;26218;26219;26220;26221;26282;26283;26284;26285;26286;26287;26548;26549;26550;26551;26552;26553;26554;26555;26556;27620;27621;27622;27623;27624;27625;27626;27627;29592;29593;29594;29595;30015;30016;30017;30018;30019;31230;31231;31232;31233;31234;31235;31236;31237;31238;32273;32274;32275;32276;32277;32278;32279;32280;32281;32282;32283;32284;32285;32286;32287;32288;32723;32724;32725;32726;32727;32728;32729;32730;32731;32732;32733;35015;35016;35017;35481;35482;35483;35484;35485;35929;35930;36983;36984;36985;36986;36987;36988	354;355;356;357;1124;1125;1126;1127;1128;1129;1130;1131;1372;1373;1374;1375;1376;1530;1531;1532;2384;2385;2386;2387;2388;2389;2390;2440;2441;2442;2443;2444;2445;2446;2447;3362;3363;3364;3365;3366;3717;3718;3719;3720;3866;3867;3868;3869;3870;3871;3964;3965;3966;3967;3968;3969;3970;3971;3972;3973;3974;4768;4769;4770;4771;5431;5432;5433;5882;5883;5884;5885;5886;5887;5888;6314;6315;6316;6317;6318;6592;6593;6594;6595;6596;8658;8659;8660;8661;8662;8663;9668;9669;9762;9763;9764;9765;9766;9767;10251;10252;10253;10254;10255;10256;10264;10265;10266;10267;10268;10360;10361;10362;10363;10364;10526;10664;10665;10666;10667;10668;10669;10670;12111;12112;12113;12675;12676;13059;13060;13061;13745;13746;14163;15585;15586;16336;16337;16338;16339;16340;16341;16342;16343;16428;16429;16430;16431;17088;17089;17090;17091;17304;17415;17416;17417;17418;17478;17501;17502;17503;17750;17751;17752;17753;17754;18572;18573;18574;18575;18576;19129;19130;19174;19175;19176;19351;19352;19353;19354;19355;19356;19357;20132;20133;20134;20135;20136;20137;20138;20139;21561;21562;21865;21866;21867;22752;22753;22754;22755;22756;22757;23556;23557;23558;23559;23560;23561;23562;23563;23564;23565;23566;23880;23881;23882;23883;23884;23885;23886;23887;23888;23889;23890;25592;25593;25594;25965;25966;25967;25968;26305;26306;27107;27108;27109;27110	355;357;1125;1130;1372;1531;2384;2390;2447;3366;3720;3868;3974;4771;5433;5884;6316;6594;8660;9669;9762;10251;10264;10268;10361;10526;10670;12111;12675;13060;13746;14163;15585;16343;16428;17088;17304;17417;17478;17501;17751;18575;19130;19174;19351;20135;21561;21865;22752;22757;23562;23886;23887;23889;25592;25966;26305;27107	28;29;30;31;32;33	85;240;258;379;679;767
O43747	O43747	2	2	2	AP-1 complex subunit gamma-1	AP1G1	sp|O43747|AP1G1_HUMAN AP-1 complex subunit gamma-1 OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=5	1	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2.9	2.9	2.9	91.35	822	822	0.00068074	2.9966						By MS/MS		0	0	0	0	0	2.9	0	1403700	0	0	0	0	0	1403700	0	31193	0	0	0	0	0	31193	0	0	0	0	0	0	212340	0	0	0	0	0	0	2	0	2				140	180;10803	True;True	183;11091	560;33929	401;24776	401;24776		
O43765	O43765	2	2	2	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	SGTA	sp|O43765|SGTA_HUMAN Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens OX=9606 GN=SGTA PE=1 SV=1	1	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	7	7	7	34.063	313	313	0	9.4861						By MS/MS		0	0	0	0	0	7	0	2452300	0	0	0	0	0	2452300	0	188640	0	0	0	0	0	188640	0	0	0	0	0	0	370970	0	0	0	0	0	0	2	0	2				141	4387;6279	True;True	4500;6440	14187;20239	10377;14704	10377;14704		
O43768	O43768	3	3	2	Alpha-endosulfine	ENSA	sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1	1	3	3	2	2	0	0	0	0	3	0	2	0	0	0	0	3	0	2	0	0	0	0	2	0	30.6	30.6	21.5	13.389	121	121	0	3.5013	By matching					By MS/MS		21.5	0	0	0	0	30.6	0	4455800	634940	0	0	0	0	3820900	0	445580	63494	0	0	0	0	382090	0	764730	0	0	0	0	448210	0	0	0	0	0	0	2	0	2				142	7798;8432;12243	True;True;True	8011;8660;12564	24895;24896;26699;26700;38473	18151;19472;28221	18151;19472;28221		
O43776	O43776	8	8	8	"Asparagine--tRNA ligase, cytoplasmic"	NARS	"sp|O43776|SYNC_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS PE=1 SV=1"	1	8	8	8	3	0	0	0	1	5	0	3	0	0	0	1	5	0	3	0	0	0	1	5	0	16.1	16.1	16.1	62.942	548	548	0	32.358	By MS/MS				By matching	By MS/MS		6.6	0	0	0	2.2	9.5	0	6558000	474880	0	0	0	70905	6012300	0	226140	16375	0	0	0	2445	207320	0	474880	0	0	0	0	0	0	3	0	0	0	0	5	0	8				143	2524;3039;4650;6666;9440;11180;11401;12292	True;True;True;True;True;True;True;True	2589;3118;4766;6840;9693;11475;11703;12615	8317;9939;14995;14996;21462;29606;35192;35877;38619	6049;7230;10961;15593;21572;25726;26264;28329	6049;7230;10961;15593;21572;25726;26264;28329	34	427
