Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Deamidation (NQ) site positions	Oxidation (M) site positions
CON__P34955	CON__P34955	5	5	5		1	5	5	5	10.3	10.3	10.3	46.103	416	416	0	7.5419	182300	355640	11580	22373	4554.1	10181	3883.8	9827.5	4589.8	9957	0	182300	355640	11580	22373	4554.1	10181	3883.8	9827.5	4589.8	9957	0	10	10	8	10	7	9	6	10	7	9	0	27757000	10			+	10	166;1028;2601;3952;5364	True;True;True;True;True	167;1033;2641;4012;5449	447;448;2632;2633;2634;6691;9958;13112;13113;13114	447;448;2644;2645;2646;6728;10011;13182;13183;13184	448;2646;6728;10011;13183				
CON__P50448	CON__P50448	1	1	1		1	1	1	1	1.5	1.5	1.5	51.723	468	468	0.29211	0.64604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			+	11	2965	True	3009	7566	7604	7604				
sp|P07996|TSP1_HUMAN;CON__Q28194	sp|P07996|TSP1_HUMAN;CON__Q28194	1;1	1;1	1;1	sp|P07996|TSP1_HUMAN Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2;	2	1	1	1	0.6	0.6	0.6	129.38	1170	1170;1170	0.54098	0.16771	17630	28217	1434.1	1497.7	435.08	654.22	391.19	1200.4	646.73	1369.1	0	17630	28217	1434.1	1497.7	435.08	654.22	391.19	1200.4	646.73	1369.1	0	1	1	1	1	1	1	1	1	1	1	0	1277600	1			+	12	1240	True	1250	3204	3217	3217				
CON__Q2TBQ1	CON__Q2TBQ1	1	1	1		1	1	1	1	1.4	1.4	1.4	75.166	661	661	0.17875	0.74911	78032	4534.7	4826.2	336.54	1681.5	0	1584.8	379.04	1442	0	0	78032	4534.7	4826.2	336.54	1681.5	0	1584.8	379.04	1442	0	0	1	1	1	1	1	0	1	1	1	0	0	4764100	1			+	13	4215	True	4277	10603	10659	10659				
CON__Q3KUS7;sp|P00751|CFAB_HUMAN	CON__Q3KUS7;sp|P00751|CFAB_HUMAN	1;1	1;1	1;1	;sp|P00751|CFAB_HUMAN Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2	2	1	1	1	0.9	0.9	0.9	85.411	760	760;764	0.4249	0.30864	1548900	114230	100970	7009.6	37621	3933.8	36276	4631.8	42094	4153.7	1357.9	1548900	114230	100970	7009.6	37621	3933.8	36276	4631.8	42094	4153.7	1357.9	2	2	2	2	2	2	2	2	2	2	2	40815000	2			+	14	5935	True	6019	14478;14479	14549;14550	14549				
sp|Q7RTS7|K2C74_HUMAN;CON__Q7RTS7	sp|Q7RTS7|K2C74_HUMAN;CON__Q7RTS7	1;1	1;1	0;0	sp|Q7RTS7|K2C74_HUMAN Keratin, type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=2;	2	1	1	0	1.3	1.3	0	57.865	529	529;529	0.61887	-0.49863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	15	5420	True								
REV__CON__P02070	REV__CON__P02070	1	1	1		1	1	1	1	0	0	0	15.954	145	145	0.62066	-0.99583	17004	18323	1045.8	1507	282.13	672.7	349.48	636.05	276.64	609.7	0	17004	18323	1045.8	1507	282.13	672.7	349.48	636.05	276.64	609.7	0	1	1	1	1	1	1	1	1	1	1	0	1653600	1		+	+	16	193	True	194	524	524	524				
REV__CON__P02754	REV__CON__P02754	1	1	1		1	1	1	1	0	0	0	18.281	162	162	0.51007	0.19869	32919	35610	2248.2	2761.9	1089.9	680.97	504.57	978.86	613.77	720.27	0	32919	35610	2248.2	2761.9	1089.9	680.97	504.57	978.86	613.77	720.27	0	1	1	1	1	1	1	1	1	1	1	0	3137600	1		+	+	17	2586	True	2626	6653	6690	6690				
REV__sp|P20930|FILA_HUMAN;REV__CON__P20930	REV__sp|P20930|FILA_HUMAN;REV__CON__P20930	1;1	1;1	1;1	sp|P20930|FILA_HUMAN Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3;	2	1	1	1	0	0	0	435.16	4061	4061;4061	0.46606	0.23344	3621.7	3756.2	433.08	294.81	0	0	0	0	0	0	0	3621.7	3756.2	433.08	294.81	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	2293000	1		+	+	18	1603	True	1622	4174	4203	4203				
REV__sp|P35900|K1C20_HUMAN;REV__CON__P35900;REV__CON__Q9D312	REV__sp|P35900|K1C20_HUMAN;REV__CON__P35900;REV__CON__Q9D312	1;1;1	1;1;1	1;1;1	sp|P35900|K1C20_HUMAN Keratin, type I cytoskeletal 20 OS=Homo sapiens OX=9606 GN=KRT20 PE=1 SV=1;;	3	1	1	1	0	0	0	48.486	424	424;424;431	0.42476	0.32196	43180	4476.8	2818.7	519.12	1127.8	0	807.42	0	1190.4	0	0	43180	4476.8	2818.7	519.12	1127.8	0	807.42	0	1190.4	0	0	1	1	1	1	1	0	1	0	1	0	0	2806700	1		+	+	19	3695	True	3751	9336	9382	9382				
REV__sp|P35908|K22E_HUMAN;REV__CON__P35908v2;REV__CON__P35908;REV__CON__Q3TTY5	REV__sp|P35908|K22E_HUMAN;REV__CON__P35908v2;REV__CON__P35908;REV__CON__Q3TTY5	1;1;1;1	1;1;1;1	1;1;1;1	sp|P35908|K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2;;;	4	1	1	1	0	0	0	65.432	639	639;639;645;707	0.5095	0.19869	34650	36390	2545.4	2020.7	716.56	393.61	637.38	1069.6	465.47	648.52	0	34650	36390	2545.4	2020.7	716.56	393.61	637.38	1069.6	465.47	648.52	0	3	3	3	3	1	1	1	1	1	1	0	6665200	3		+	+	20	5108	True	5187	12515;12516	12575;12576;12577	12575				
REV__sp|Q01546|K22O_HUMAN;REV__CON__Q01546	REV__sp|Q01546|K22O_HUMAN;REV__CON__Q01546	1;1	1;1	1;1	sp|Q01546|K22O_HUMAN Keratin, type II cytoskeletal 2 oral OS=Homo sapiens OX=9606 GN=KRT76 PE=1 SV=2;	2	1	1	1	0	0	0	65.84	638	638;638	0.39774	0.37917	634020	552090	48033	39541	13800	15058	15681	18316	16516	18514	329.39	634020	552090	48033	39541	13800	15058	15681	18316	16516	18514	329.39	4	4	4	4	4	4	4	4	4	4	1	326320000	4		+	+	21	5220	True	5301	12779;12780;12781;12782	12841;12842;12843;12844	12842				
REV__CON__Q28085	REV__CON__Q28085	1	1	1		1	1	1	1	0	0	0	140.37	1236	1236	0.44516	0.2692	23589	16989	1948.4	1508	453.64	450.93	403.08	532.61	458.51	352.07	0	23589	16989	1948.4	1508	453.64	450.93	403.08	532.61	458.51	352.07	0	1	1	1	1	1	1	1	1	1	1	0	32201000	1		+	+	22	5347	True	5432	13068	13130	13130				
REV__CON__Q2TBQ1	REV__CON__Q2TBQ1	1	1	1		1	1	1	1	0	0	0	75.166	661	661	0.38696	0.40802	6689.1	5485.8	670.22	334.24	0	277.86	0	0	0	0	0	6689.1	5485.8	670.22	334.24	0	277.86	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1654400	1		+	+	23	4323	True	4389	10868	10924	10924				
REV__CON__Q2UVX4	REV__CON__Q2UVX4	1	1	1		1	1	1	1	0	0	0	187.37	1662	1662	0.17472	0.75455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		+	+	24	3437	True	3491	8746	8792	8792				
REV__CON__Q3KUS7	REV__CON__Q3KUS7	1	1	1		1	1	1	1	0	0	0	85.411	760	760	0.58809	-0.064227	7827.8	3668.1	881.17	405.37	0	0	335.58	0	0	0	0	7827.8	3668.1	881.17	405.37	0	0	335.58	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	732940	1		+	+	25	439	True	441	1107	1113	1113				
REV__CON__Q6IFZ6	REV__CON__Q6IFZ6	1	1	1		1	1	1	1	0	0	0	61.358	572	572	0.44351	0.27234	10674	11121	1189.5	648.03	0	0	0	598.43	0	0	0	10674	11121	1189.5	648.03	0	0	0	598.43	0	0	0	2	2	2	1	0	0	0	1	0	0	0	8833800	2		+	+	26	5470	True	5554	13341;13342	13411;13412	13411				
REV__sp|Q7Z3Z0|K1C25_HUMAN;REV__CON__Q7Z3Z0;REV__sp|Q7Z3Y8|K1C27_HUMAN;REV__CON__Q7Z3Y8;REV__sp|Q7Z3Y7|K1C28_HUMAN;REV__CON__Q7Z3Y7	REV__sp|Q7Z3Z0|K1C25_HUMAN;REV__CON__Q7Z3Z0;REV__sp|Q7Z3Y8|K1C27_HUMAN;REV__CON__Q7Z3Y8;REV__sp|Q7Z3Y7|K1C28_HUMAN;REV__CON__Q7Z3Y7	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	sp|Q7Z3Z0|K1C25_HUMAN Keratin, type I cytoskeletal 25 OS=Homo sapiens OX=9606 GN=KRT25 PE=1 SV=1;;sp|Q7Z3Y8|K1C27_HUMAN Keratin, type I cytoskeletal 27 OS=Homo sapiens OX=9606 GN=KRT27 PE=1 SV=2;;sp|Q7Z3Y7|K1C28_HUMAN Keratin, type I cytoskeletal 28 OS=Hom	6	1	1	1	0	0	0	49.317	450	450;450;459;459;464;486	0.55269	0.16664	52044	78966	3730.5	8768.6	1232.5	2035.1	613.1	1822.5	579.8	1750.2	0	52044	78966	3730.5	8768.6	1232.5	2035.1	613.1	1822.5	579.8	1750.2	0	1	1	1	1	1	1	1	1	1	1	0	5913400	1		+	+	27	2241	True	2276	5784	5819	5819				
REV__sp|A0A0U1RRE5|NBDY_HUMAN	REV__sp|A0A0U1RRE5|NBDY_HUMAN	1	1	1	sp|A0A0U1RRE5|NBDY_HUMAN Negative regulator of P-body association OS=Homo sapiens OX=9606 GN=NBDY PE=1 SV=1	1	1	1	1	0	0	0	7.0249	68	68	0.29181	0.64489	226430	86074	17356	6430.6	6923.4	4905.2	6060.2	4693.2	6394	4947.5	0	226430	86074	17356	6430.6	6923.4	4905.2	6060.2	4693.2	6394	4947.5	0	2	2	2	2	2	2	2	2	2	2	0	47373000	2		+		28	3332	True	3386	8496;8497	8540;8541	8541				
REV__sp|A0A1B0GTW7|LMLN2_HUMAN	REV__sp|A0A1B0GTW7|LMLN2_HUMAN	1	1	1	sp|A0A1B0GTW7|LMLN2_HUMAN Leishmanolysin-like peptidase 2 OS=Homo sapiens OX=9606 GN=LMLN2 PE=3 SV=1	1	1	1	1	0	0	0	85.396	788	788	0.42131	0.32908	18803	37862	1184	5143.9	0	0	0	0	0	0	0	18803	37862	1184	5143.9	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	30702000	1		+		29	6070	True	6156	14829	14904	14904				
REV__sp|A0A1B0GVH6|CM042_HUMAN	REV__sp|A0A1B0GVH6|CM042_HUMAN	1	1	1	sp|A0A1B0GVH6|CM042_HUMAN Uncharacterized protein C13orf42 OS=Homo sapiens OX=9606 GN=C13orf42 PE=4 SV=1	1	1	1	1	0	0	0	37.385	325	325	0.35234	0.53689	52475	5148	2447.4	401.88	980.4	0	1612.9	0	1656.3	245.31	0	52475	5148	2447.4	401.88	980.4	0	1612.9	0	1656.3	245.31	0	1	1	1	1	1	0	1	0	1	1	0	5674100	1		+		30	4599	True	4676	11502	11560	11560				
REV__sp|A0JNW5|UH1BL_HUMAN	REV__sp|A0JNW5|UH1BL_HUMAN	1	1	1	sp|A0JNW5|UH1BL_HUMAN UHRF1-binding protein 1-like OS=Homo sapiens OX=9606 GN=UHRF1BP1L PE=1 SV=2	1	1	1	1	0	0	0	164.2	1464	1464	0.56533	0.16664	16674	30199	902.4	2254.4	0	605.35	291.68	490.25	0	334.58	0	16674	30199	902.4	2254.4	0	605.35	291.68	490.25	0	334.58	0	2	2	1	2	0	1	1	1	0	1	0	3431900	2		+		31	5805	True	5889	14150;14151	14220;14221	14220				
REV__sp|A1A4S6|RHG10_HUMAN	REV__sp|A1A4S6|RHG10_HUMAN	1	1	1	sp|A1A4S6|RHG10_HUMAN Rho GTPase-activating protein 10 OS=Homo sapiens OX=9606 GN=ARHGAP10 PE=1 SV=1	1	1	1	1	0	0	0	89.374	786	786	0.61073	-0.13834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+		32	1930	True	1958	4994	5024	5024				
REV__sp|A1YPR0|ZBT7C_HUMAN	REV__sp|A1YPR0|ZBT7C_HUMAN	1	1	1	sp|A1YPR0|ZBT7C_HUMAN Zinc finger and BTB domain-containing protein 7C OS=Homo sapiens OX=9606 GN=ZBTB7C PE=2 SV=1	1	1	1	1	0	0	0	69.016	619	619	0.38123	0.42327	192090	100200	12351	7682	6026.5	5747.4	5980.8	5425	6859.2	4833.2	0	192090	100200	12351	7682	6026.5	5747.4	5980.8	5425	6859.2	4833.2	0	2	2	2	2	1	2	1	2	1	2	0	19992000	2		+		33	3724	True	3780	9407;9408	9453;9454	9454				
REV__sp|A2A288|ZC12D_HUMAN	REV__sp|A2A288|ZC12D_HUMAN	1	1	1	sp|A2A288|ZC12D_HUMAN Probable ribonuclease ZC3H12D OS=Homo sapiens OX=9606 GN=ZC3H12D PE=1 SV=3	1	1	1	1	0	0	0	58.077	527	527	0.46135	0.23492	412.76	269.12	0	0	0	0	0	0	0	0	0	412.76	269.12	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1769400	1		+		34	5056	True	5134	12398	12458	12458				
REV__sp|A2AJT9|BCLA3_HUMAN	REV__sp|A2AJT9|BCLA3_HUMAN	1	1	1	sp|A2AJT9|BCLA3_HUMAN BCLAF1 and THRAP3 family member 3 OS=Homo sapiens OX=9606 GN=BCLAF3 PE=1 SV=1	1	1	1	1	0	0	0	83.87	711	711	0.54936	0.16664	179640	124770	15298	9538.4	4034.4	3910.1	3955.9	4584.7	3658.5	3744.1	0	179640	124770	15298	9538.4	4034.4	3910.1	3955.9	4584.7	3658.5	3744.1	0	4	4	4	4	4	4	4	4	4	3	0	10669000	4		+		35	4426	True	4498	11138;11139;11140;11141	11196;11197;11198;11199	11196				
REV__sp|P26639|SYTC_HUMAN;REV__sp|A2RTX5|SYTC2_HUMAN	REV__sp|P26639|SYTC_HUMAN;REV__sp|A2RTX5|SYTC2_HUMAN	1;1	1;1	1;1	sp|P26639|SYTC_HUMAN Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3;sp|A2RTX5|SYTC2_HUMAN Threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS3 PE=1 SV=1	2	1	1	1	0	0	0	83.434	723	723;802	0.17762	0.75243	9377	8824.1	724.34	445.21	227.35	257.33	0	608.25	0	223.41	0	9377	8824.1	724.34	445.21	227.35	257.33	0	608.25	0	223.41	0	1	1	1	1	1	1	0	1	0	1	0	1477500	1		+		36	3082	True	3130	7872	7915	7915				
REV__sp|A2RUC4|TYW5_HUMAN	REV__sp|A2RUC4|TYW5_HUMAN	1	1	1	sp|A2RUC4|TYW5_HUMAN tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens OX=9606 GN=TYW5 PE=1 SV=1	1	1	1	1	0	0	0	36.547	315	315	0.37739	0.42655	75756	57703	4889.3	3547.1	3794.1	3482.8	2914.5	3233.4	3380	3440.4	0	75756	57703	4889.3	3547.1	3794.1	3482.8	2914.5	3233.4	3380	3440.4	0	3	3	3	3	3	3	3	3	3	3	0	7779600	4		+		37	678	True	681	1730;1731;1732;1733	1739;1740;1741;1742	1741				
REV__sp|A2RUS2|DEND3_HUMAN	REV__sp|A2RUS2|DEND3_HUMAN	1	1	1	sp|A2RUS2|DEND3_HUMAN DENN domain-containing protein 3 OS=Homo sapiens OX=9606 GN=DENND3 PE=1 SV=2	1	1	1	1	0	0	0	135.89	1198	1198	0.16754	0.76853	344860	493120	16132	23247	11444	28894	11384	30606	10325	28044	0	344860	493120	16132	23247	11444	28894	11384	30606	10325	28044	0	4	4	4	4	4	4	4	4	4	4	0	21990000	4		+		38	3071	True	3119	7839;7840;7841;7842	7878;7879;7880;7881	7881				
REV__sp|A4D2P6|GRD2I_HUMAN	REV__sp|A4D2P6|GRD2I_HUMAN	1	1	1	sp|A4D2P6|GRD2I_HUMAN Delphilin OS=Homo sapiens OX=9606 GN=GRID2IP PE=3 SV=2	1	1	1	1	0	0	0	132.27	1211	1211	0.53003	0.16923	38187	22003	2594.2	1380.4	1220.2	1041.2	1066.9	1272.5	1432.5	1096	0	38187	22003	2594.2	1380.4	1220.2	1041.2	1066.9	1272.5	1432.5	1096	0	1	1	1	1	1	1	1	1	1	1	0	4057100	1		+		39	5027	True	5105	12347	12407	12407				
REV__sp|A6NC98|CC88B_HUMAN	REV__sp|A6NC98|CC88B_HUMAN	1	1	1	sp|A6NC98|CC88B_HUMAN Coiled-coil domain-containing protein 88B OS=Homo sapiens OX=9606 GN=CCDC88B PE=1 SV=1	1	1	1	1	0	0	0	164.81	1476	1476	0.44386	0.27518	23904	14244	1340	1227.4	946.54	446.02	757.01	451.22	458.09	385.34	0	23904	14244	1340	1227.4	946.54	446.02	757.01	451.22	458.09	385.34	0	1	1	1	1	1	1	1	1	1	1	0	1734700	1		+		40	4750	True	4826	11790	11848	11848				
REV__sp|A6NCI4|VWA3A_HUMAN	REV__sp|A6NCI4|VWA3A_HUMAN	1	1	1	sp|A6NCI4|VWA3A_HUMAN von Willebrand factor A domain-containing protein 3A OS=Homo sapiens OX=9606 GN=VWA3A PE=2 SV=3	1	1	1	1	0	0	0	134.02	1184	1184	0.46413	0.23393	19473	15824	1560.5	1553.9	387.87	758.76	369.85	766.59	448.91	646.11	0	19473	15824	1560.5	1553.9	387.87	758.76	369.85	766.59	448.91	646.11	0	1	1	1	1	1	1	1	1	1	1	0	2310100	1		+		41	2783	True	2824	7149	7186	7186				
